brand,Marque,Year,model,modèle,terrain,terrain_fr,cushioning,cushioning_fr,Category,Catégorie,Foot strike,type de foulée,drop_mm,drop_mm,stack_mm,stack_mm_fr,Stack forefoot_mm,Stack avant-pied -mm,weight,poids,Heel rigidity (1–5),Rigidité talon (1–5),Torsional rigidity (1–5),Rigidité torsionnelle (1–5),Wide forefoot_mm,Largeur avant-pied_mm,Midfoot width_mm,Largeur médio-pied_mm,Heel width_mm,Largeur talon_mm,Internal heel high_mm,Hauteur talon interne_mm,Foam type,Type de mousse,Energy return (1–5),Retour d’énergie (1–5),Rocker type,Type de rocker,Longitudinal flexibility (N),Flexibilité longitudinale (N),Torsional flexibility (N),Flexibilité torsionnelle (N),Fit width (subjective),Largeur chaussant (subjectif),stability,stabilité,notes,notes_fr,Price,prix,link 1,link 2,link 3,image_url
Adidas,Adidas,,Adizero Evo SL,Adizero Evo SL,"Road, Daily running, Tempo","Route, Course quotidienne, Tempo",Balanced,Équilibré,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied",8,"6,5","36,1","38,5","28,1",32,223,224,3,3,4,4,"71,6","71,6","97,5","97,5",,,"36,1","38,5",Lightstrike Pro midsole,Lightstrike Pro midsole,4,4,"Yes,Moderate forefoot rocker","Oui, Rocker modéré à l’avant-pied","9,8","9,8",,,Medium,Moyen,Stability,Stabilité,"Lightweight performance trainer with Lightstrike Pro foam, versatile for tempo and daily runs","Chaussure performance légère avec mousse Lightstrike Pro, polyvalente pour tempo et sorties quotidiennes",,,https://amzn.to/48fr9qW,https://www.adidas.fr/chaussure-adizero-evo-sl/JH6206.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3003101-chaussures_running_adidas_adizero_evo_sl_blanc_noir_homme,https://product-cdn-frz.alltricks.com/large/813/858813/2858813/6026561
Adidas,Adidas,,Adistar 3,Adistar 3,"Road, Daily running","Route, Course quotidienne",Soft,Souple,Neutral,Neutre,Heel,Talon,"10,5",5,"40,7",40,"30,2",35,274,270,4,4,4,4,"72,6","72,6",95.0,95.0,,,"40,7",40,Dual-density midsole,Semelle intermédiaire double densité,3,3,No rocker,Pas de rocker,"12,3","12,3",,,Medium to wide,Moyen à large,Stability with medial support,Stabilité avec support médial,"Durable stability trainer with supportive ride, designed for overpronators and injury prevention.","Chaussure de stabilité durable avec ride supportive, conçue pour surpronateurs et prévention des blessures.",,,https://amzn.to/47ViLho,https://www.adidas.fr/chaussure-adistar-3/ID6161.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2931537-chaussure_de_running_adidas_adistar_3_bleu_homme,https://m.media-amazon.com/images/I/51p+Zt3XTgL._AC_SY695_.jpg
Adidas,Adidas,,Supernova Prima 2,Supernova Prima,"Road, Daily running","Route, Course quotidienne",Balanced,Équilibré,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","8,9",8,"36,1",37,"27,2",29,281,284,5,5,4,4,"74,9","74,9","96,6","96,6",,,"36,1",37,"Boost, Lightstrike","Boost, Lightstrike",3,3,"Yes, mild rocker","Oui, rocker léger","12,4","12,4",,,Medium,Moyen,Neutral,Neutre,"Comfortable daily trainer with dual-layer Boost and Lightstrike foam, smooth ride for everyday runs.","Chaussure quotidienne confortable avec double couche Boost et Lightstrike, ride fluide pour sorties quotidiennes.",,,https://amzn.to/4p2dL0s,https://www.adidas.fr/chaussure-supernova-prima-2/JR3197.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3075291-chaussures_running_adidas_performance_supernova_prima_2_noir_vert_homme,https://m.media-amazon.com/images/I/6123msPSYNL._AC_SY575_.jpg
Adidas,Adidas,,Adizero Prime X 2 Strung,Adizero Prime X 2 Strung,"Road,Competition,Tempo","Route,Compétition,Tempo","Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","8,8","6,5","45,7",50,"36,9","43,5",305,306,1,1,5,5,69,69,"93,7","93,7",,,"45,7",50,Dual-layer Lightstrike Pro,Double couche Lightstrike Pro,5,5,"Yes, aggressive carbon rod rocker","Oui, rocker tige carbone agressif",37.0,37.0,,,Medium,Moyen,Neutral with carbon EnergyRods,Neutre avec EnergyRods carbone,"Super shoe with 50mm stack, carbon rods and dual Lightstrike Pro for maximum energy return.","Super chaussure avec stack 50mm, tiges carbone et double Lightstrike Pro pour retour d'énergie max.",,,https://amzn.to/47IDIMv,https://chk.me/GaxeSKs,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2932451-chaussures_adidas_adizero_prime_x_2_strung_blanc_noir_unisexe?suggestion=1&search_term=Adizero%20Prime%20X%202%20Strung,https://m.media-amazon.com/images/I/51oNVtz1njL._AC_SY575_.jpg
Adidas,Adidas,,Adizero Adios Pro 4,Adizero Adios Pro 4,"Road,Competition","Route,Compétition","Soft ,warm","Souple,Chaud",Neutral,Neutre,Mid/forefoot,Médio/avant-pied,"8,1",6,"36,6",39,"28,5",33,200,201,1,1,4,4,69.5,69.5,"93,2","93,2",,,"36,6",39,Lightstrike Pro,Lightstrike Pro,5,5,"Yes, aggressive carbon rod rocker","Oui, rocker tige carbone agressif","22,7","22,7",,,Medium,Moyen,Neutral with EnergyRods carbon stability,Neutre avec stabilité carbone EnergyRods,"Competitive racing shoe with EnergyRods, Lightstrike Pro 2.0 foam and aggressive rocker for race day","Chaussure de course compétitive avec EnergyRods, mousse Lightstrike Pro 2.0 et rocker agressif pour compétition",,,https://amzn.to/3JLbDeg,https://www.adidas.fr/chaussure-adizero-adios-pro-4/JR1267.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2911583-chaussures_running_adidas_adizero_adios_pro_4_blanc_noir_homme,https://m.media-amazon.com/images/I/518xA7biACL._AC_SY695_.jpg
Adidas,Adidas,,Terrex Agravic Speed Ultra,Terrex Agravic Speed Ultra,"Trail,Light","Sentier,Léger","Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,Mid/forefoot,Médio/avant-pied,"0,3",8,"30,6",38,"30,3",30,259,270,1,1,4,4,"70,5","70,5",94.8,94.8,,,"30,6",38,Lightstrike Pro,Lightstrike Pro,4,4,"Yes, mild rocker","Oui, rocker léger","15,3","15,3",,,Medium,Moyen,Neutral with trail outsole,Neutre avec semelle trail,"Lightweight trail racing shoe with Lightstrike Pro foam, designed for speed on technical terrain.","Chaussure de trail légère pour course avec mousse Lightstrike Pro, conçue pour vitesse sur terrain technique.",,,https://amzn.to/4rfs1Vd,https://www.adidas.fr/chaussure-de-trail-running-terrex-agravic-speed-ultra/IH3764.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3075295-chaussures_trail_adidas_terrex_agravic_speed_ultra_vert_homme?suggestion=1&search_term=Terrex%20Agravic%20Speed%20Ultra,https://m.media-amazon.com/images/I/51bOY0nVj-L._AC_SY575_.jpg
Adidas,Adidas,,Ultraboost 22,Ultraboost 22,"Road, Daily running","Route, Course quotidienne",Maximum,Maximum,Neutral,Neutre,Heel,Talon,"12,7",10,"33,9",31,"21,2",21,301,332,3,3,3,3,"117,7","117,7",,,,,"33,9",31,BOOST foam / “chunky amounts of Ultraboost foam”,Mousse BOOST (quantités généreuses),2,2,No rocker,Pas de rocker,"27,6","27,6",,,Wide,Large,Neutral with Linear Energy Push,Neutre avec Linear Energy Push,"Super-comfortable cushioning, great for slower/longer runs, excellent grip, but not suitable for wide feet and lacks energy return.","Amorti très confortable, excellent pour les sorties longues/lentes, excellente adhérence, mais inadéquate pour pieds larges et manque de rebond.",,,https://amzn.to/4ihjsVB,https://www.adidas.fr/chaussure-ultraboost-22/GX5573.html,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2250584-chaussures_running_adidas_running_ultraboost_22_noir_vert_homme,https://m.media-amazon.com/images/I/61B7EwAEzDL._AC_SY575_.jpg
Adidas,Adidas,,Ultraboost 5,Ultraboost 5,"Road, Daily running","Route, Course quotidienne",Soft,Souple,Neutral,Neutre,Heel,Talon,"10,6",10,"35,2",39,"24,6",29,292,323,3,3,4,4,"78,6","78,6",98.4,98.4,,,"35,2",39,"Boost HD, L.E.P. system","Boost HD, système L.E.P.",4,4,"Yes, Linear Energy Push","Oui, Linear Energy Push","17,3","17,3",,,Medium,Moyen,Neutral with Linear Energy Push system,Neutre avec système Linear Energy Push,"Maximum Boost cushioning with Linear Energy Push, comfortable for daily runs and all-day wear.","Amorti Boost max avec Linear Energy Push, confortable pour course quotidienne et port journalier.",,,https://amzn.to/44re7VY,https://chk.me/Ntc0NPc,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2933730-chaussures_adidas_ultraboost_5x_bleu_violet_homme,https://m.media-amazon.com/images/I/71nPAic+ZxL._AC_SY575_.jpg
Altra,Altra,,Lone Peak 9,Lone Peak 9,Trail,Sentier,"Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,Mid/forefoot,Médio/avant-pied,0,0,"23,3",25,"23,3",25,309,295,2,2,3,3,"85,3","85,3","98,5","98,5",,,"23,3",25,EVA,EVA,3,3,No rocker,Pas de rocker,12,12,,,Wide,Large,Neutral with wide platform,Neutre avec plateforme large,"Zero-drop trail runner with FootShape toe box, balanced cushioning for versatile trail use","Chaussure de trail zero-drop avec boîte à orteils FootShape, amorti équilibré pour usage trail polyvalent.",,,https://amzn.to/4imJMhq,https://chk.me/AzrhmUA,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2987240-chaussures_trail_altra_lone_peak_9__noir_homme,https://m.media-amazon.com/images/I/61m2Izjw2ZL._AC_SY575_.jpg
ASICS,ASICS,,Novablast 5,Novablast 5,"Road, Daily running, Tempo","Route, Course quotidienne, Tempo",Soft,Souple,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","7,4",8,"40,9","41,5","33,5","33,5",254,255,3,3,4,4,"74,4","74,4","97,5","97,5","97,6","97,6","40,9","41,5",FF Blast MAX,FF Blast MAX,"3,5","3,5","Yes, Late and mild forefoot rocker","Oui, Rocker avant-pied tardif et léger","11,2","11,2",,,Medium,Moyen,Neutral - Good stability despite high stack,Neutre - Bonne stabilité malgré stack élevé,Soft bouncy daily trainer,Chaussure quotidienne souple rebondissante,,,https://amzn.to/44mVy5p,https://chk.me/F3EbtMT,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3094522-chaussures_running_asics_novablast_5_tokyo_violet_rouge_homme?suggestion=1&search_term=Novablast%205,https://m.media-amazon.com/images/I/61dyiMu7n-L._AC_SY575_.jpg
ASICS,ASICS,,Superblast 2,Superblast 2,"Road, Daily running, Tempo","Route, Course quotidienne, Tempo",Soft,Souple,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","8,2",8,"42,8",45,"34,6",37,252,250,3,3,5,5,"72,3","72,3",94.7,94.7,,,42.8,45,FF Blast Turbo + FF Blast+,FF Blast Turbo + FF Blast+,"4,5","4,5","Yes, aggressive rocker","Oui, rocker agressif","18,4","18,4",,,Medium,Moyen,Neutral - stable platform,Neutre - plateforme stable,Premium max-cushion trainer. High energy return. Lightweight. Versatile for daily and tempo runs. Improved upper from v1.,Chaussure haut de gamme à amorti max. Retour d'énergie élevé. Léger. Polyvalent pour quotidien et tempo. Tige améliorée vs v1.,,,https://amzn.to/48eCg3c,https://chk.me/SjesNpO,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2908425-chaussures_running_asics_superblast_2_bleu_blanc_unisexe,https://m.media-amazon.com/images/I/61ENpLjCFjL._AC_SY575_.jpg
